audienceType,name,categorySummary,summary
"Crafted Audience","Miami Trip Planners","Consumer > Travel > Miami Trip Planners","People researching attractions and accommodations in Miami. These consumers are more likely to spend money on flights, hotels, and local attractions."
"Location Audience","Michael Kors","Points of interest > Retail > Apparel > Michael Kors","People in this audience have recently visited a Michael Kors location."
"Location Audience","Michaels","Points of interest > Retail > Hobby > Michaels","People in this audience have recently visited a Michaels location."
"Location Audience","Michel Tires Plus","Points of interest > Auto > Service Supplies > Michel Tires Plus","People in this audience have recently visited a Michel Tires Plus location."
"Content Cluster","Michigan Cluster","Content Clusters > Michigan Cluster","People in this audience are interested in a variety of topics related to the State of Michigan."
"Crafted Audience","Michigan Wolverines Fans","Consumer > Media > Sports Fans > Michigan Wolverines Fans","Fans of Michigan Wolverines"
"Crafted Audience","Microsoft Friendly Developers","Lifestyle > Occupation > Microsoft Friendly Developers","Professional developers reading industry news on Microsoft products."
"Location Audience","Microtel Inn","Points of interest > Travel > Hotels > Microtel Inn","People in this audience have recently visited a Microtel Inn location."
"Content Cluster","Mid-Atlantic Beaches","Content Clusters > Mid-Atlantic Beaches","People in this audience are interested in mid-Atlantic beaches, including Delaware Beach, Chesapeake Bay, and Virginia Beach."
"Crafted Audience","Mid-Atlantic Voters","Lifestyle > Political > Mid-Atlantic Voters","People researching voter registration options and political issues for voters in Mid-Atlantic states."
"Crafted Audience","Mid-Range Grocery Shoppers","Consumer > CPG > Food > Mid-Range Grocery Shoppers","Consumers shopping for groceries at mid-range grocery stores."
"Location Audience","Midas","Points of interest > Auto > Service Supplies > Midas","People in this audience have recently visited a Midas location."
"Content Cluster","Middle East News","Content Clusters > Middle East News","People in this audience are interested in news related to the Middle East."
"Crafted Audience","Midwestern Voters","Lifestyle > Political > Midwestern Voters","People researching voter registration options and political issues for voters in Midwestern states."
"Content Cluster","Military & Law Enforcement","Content Clusters > Military & Law Enforcement","People in this audience are interested in news related to the military and law enforcement."
"Crafted Audience","Military Benefits Researchers","Lifestyle > Lifestage > Military Benefits Researchers","People researching military benefits"
"Crafted Audience","Military Families","Lifestyle > Lifestage > Family > Military Families","People reading military publications."
"Crafted Audience","Military Personal Finance Researchers","Consumer > Financial Services > Military Personal Finance Researchers","People researching personal finance while also demonstrating interest in military related content."
"Crafted Audience","Military Servicemembers & Veterans","Lifestyle > Occupation > Military Servicemembers & Veterans","People visiting websites about military benefits."
"Crafted Audience","Military Surplus Store Shoppers","Consumer > Retail > Apparel > Military Surplus Store Shoppers","Consumers shopping for clothing and accessories at military surplus stores."
"Crafted Audience","Milk and Dairy Shoppers","Consumer > CPG > Food > Milk and Dairy Shoppers","Consumers visiting milk and dairy brands websites and shopping for products."
"Crafted Audience","Milwaukee Brewers Fans","Consumer > Media > Sports Fans > Milwaukee Brewers Fans","Fans of Milwaukee Brewers"
"Crafted Audience","Milwaukee Bucks Fans","Consumer > Media > Sports Fans > Milwaukee Bucks Fans","People reading news about the Milwaukee Bucks and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Minecraft Video Game Fans","Consumer > Media > Minecraft Video Game Fans","People reading Minecraft news and following gaming trends."
"Content Cluster","Minecraft Video Game Players","Content Clusters > Minecraft Video Game Players","People in this audience are interested in Minecraft, servers, packs, and players."
"Content Cluster","Mining & Natural Resources","Content Clusters > Mining & Natural Resources","People in this audience are interested in mining and natural resources."
"Content Cluster","Minnesota Community Business Cluster","Content Clusters > Minnesota Community Business Cluster","People in this audience are interested in a variety of content related to the State of Minnesota."
"Content Cluster","Minnesota Local News Cluster","Content Clusters > Minnesota Local News Cluster","People in this audience are interested in a variety of content related to the State of Minnesota."
"Crafted Audience","Minnesota Timberwolves Fans","Consumer > Media > Sports Fans > Minnesota Timberwolves Fans","People reading news about the Minnesota Timberwolves and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Minnesota Twins Fans","Consumer > Media > Sports Fans > Minnesota Twins Fans","Fans of Minnesota Twins"
"Crafted Audience","Minnesota Vikings Fans","Consumer > Media > Sports Fans > Minnesota Vikings Fans","People reading news about the Minnesota Vikings and watching games. These consumers are more likely to spend money on team gear."
"Crafted Audience","Misc-Deal Seekers or Coupon Shoppers","Consumer > General Consumer > Misc-Deal Seekers or Coupon Shoppers","Consumers researching deals and shopping with coupons."
"Content Cluster","Mississippi News","Content Clusters > Mississippi News","People in this audience are interested in news related to Mississippi."
"Content Cluster","Missouri News Content Cluster","Content Clusters > Missouri News Content Cluster","People in this audience are interested in a variety of content related to Missouri, including St. Louis."
"Content Cluster","Missouri Travel & Outdoors Cluster","Content Clusters > Missouri Travel & Outdoors Cluster","People in this audience are interested in a variety of content related to the State of Missouri."
"Location Audience","Mitsubishi","Points of interest > Auto > Manufacturers > Mitsubishi","People in this audience have recently visited a Mitsubishi location."
"Content Cluster","Mobile Industry Information","Content Clusters > Mobile Industry Information","People in this audience are interested in the mobile phone industry."
"Crafted Audience","Mobile Phone Comparison Shoppers","Consumer > Electronics > Mobile Phone Comparison Shoppers","Consumers researching alternative mobile phones and wireless plans."
"Content Cluster","Mobile Phone Networks","Content Clusters > Mobile Phone Networks","People in this audience are interested in mobile phone networks."
